South Oswald Road Only 71 - 75	1505219/south-oswald-road-only-71-75	tuesday-1
Stenhouse Road 6 - 74 Even	1505346/stenhouse-road-6-74-even	wednesday-2
Stenhouse Road 7 - 55 Odd	1505347/stenhouse-road-7-55-odd	wednesday-2
Stenhouse Street West All except 1-19	1505350/stenhouse-street-west-all-except-1-19	thursday-2
Strathalmond Green All Except 20	1505378/strathalmond-green-all-except-20	thursday-2
Strathalmond Green Only 20	1505379/strathalmond-green-only-20	friday-1
Suffolk Road Even Numbers	1505392/suffolk-road-even-numbers	thursday-2
Suffolk Road Odd Numbers	1505394/suffolk-road-odd-numbers	tuesday-2
West Granton Road 213 - 225 Odd & 120 - 146 Even	1506149/west-granton-road-213-225-odd-120-146-even	tuesday-1
West Granton Road 3 - 43 Odd & 70	1506150/west-granton-road-3-43-odd-70	tuesday-2
Whitehouse Loan 162 -172 Even	1506238/whitehouse-loan-162-172-even	tuesday-1
Whitehouse Loan All Except 162 - 172 Even	1506239/whitehouse-loan-all-except-162-172-even	tuesday-2
Willowbrae Road 161 - 165 Odd & 233	1506267/willowbrae-road-161-165-odd-233	friday-2
Willowbrae Road All Except 161 - 165 Odd & 233	1506268/willowbrae-road-all-except-161-165-odd-233	wednesday-2
Woodhall Road Except 154-184	1506295/woodhall-road-except-154-184	wednesday-2
